anticipation,4,2
trust,❕,5
joy,✏,1
sadness,5,4
trust,⚫,5
sadness,⛵,1
fear,♦,2
fear,↩,2
joy,☎,3
anger,☠,1
disgust-hate,♋,1
trust,☑,5
anticipation,",",20490
anger,4,1
joy,2,4
fear,❗,34
disgust-hate,↘,4
disgust-hate,™,5
disgust-hate,⛵,1
trust,☝,136
surprise,⛄,33
anger,⛄,43
fear,♒,1
joy,☁,11
fear,⚾,36
fear,⬇,3
joy,],1
anger,↪,1
trust,✋,35
surprise,✈,36
joy,✋,75
trust,2,7
surprise,",",38332
anger,↩,1
trust,✒,1
anger,✋,398
disgust-hate,5,1
joy,⛵,5
surprise,♠,4
surprise,➕,2
surprise,♏,1
disgust-hate,☔,27
trust,✈,74
anticipation,⛽,2
surprise,⛵,4
surprise,☎,3
sadness,⌚,2
trust,♎,1
anticipation,⛺,2
surprise,5,2
fear,⏳,2
disgust-hate,,71913
disgust-hate,],1
fear,♏,2
fear,♌,1
disgust-hate,↩,1
trust,♊,1
anticipation,♿,1
fear,⬆,4
disgust-hate,2,3
fear,⌚,4
surprise,♨,1
disgust-hate,✋,437
disgust-hate,♍,1
disgust-hate,⚪,1
anticipation,❤,462
sadness,❌,18
sadness,⬅,6
joy,♨,1
trust,✨,341
sadness,⛅,8
anticipation,☀,26
anger,➖,2
disgust-hate,1,4
anger,✒,4
fear,©,1
disgust-hate,➕,1
surprise,❄,66
anger,➕,3
fear,⭐,16
disgust-hate,〽,2
joy,✖,1
trust,❓,8
disgust-hate,✈,37
anger,⌛,2
fear,⛅,26
trust,☎,8
sadness,✔,3
disgust-hate,✏,15
trust,➡,6
trust,6,3
anticipation,✏,13
surprise,☹,2
sadness,2,1
anger,☺,94
anger,⚠,3
disgust-hate,☁,14
disgust-hate,⌛,2
trust,✌,719
surprise,⌛,1
anger,❕,7
fear,⭕,3
joy,♦,3
sadness,♥,72
fear,♍,20
surprise,✨,41
anger,❔,3
joy,⚾,23
disgust-hate,☝,90
disgust-hate,❓,8
trust,↗,4
trust,↘,1
surprise,⬇,4
anger,✔,24
fear,7,1
trust,❔,2
trust,⚾,64
trust,✂,3
surprise,⛺,8
anger,➰,1
fear,▶,2
joy,4,2
anticipation,☁,12
anticipation,⚾,4
surprise,⏳,3
trust,⛪,7
trust,♍,23
fear,?,184184
fear,☁,43
joy,⚪,2
anger,2,1
fear,⃣,61
disgust-hate,4,2
surprise,8,1
fear,✨,136
disgust-hate,✊,23
trust,✔,23
anticipation,♌,1
surprise,✉,1
anger,",",70588
anger,✈,28
disgust-hate,⃣,12
joy,☝,46
trust,⚓,30
joy,⛺,3
trust,♐,2
anger,✖,4
anger,⤴,1
anger,✅,1
anger,],1
fear,♓,1
disgust-hate,⬇,6
joy,☔,21
joy,⛽,4
fear,⚓,12
trust,↙,3
trust,☔,37
trust,⛵,10
surprise,✌,134
anger,⚽,15
anger,⌚,2
trust,♠,41
surprise,0,1
disgust-hate,⛳,2
surprise,♦,1
disgust-hate,✖,2
anticipation,[,1
surprise,❤,351
trust,♥,4695
trust,♦,29
anticipation,⃣,4
sadness,✌,99
anticipation,⚓,2
trust,❗,47
anticipation,☔,12
anticipation,♥,207
sadness,⭐,9
anger,⃣,7
fear,⚠,18
joy,⛅,5
surprise,↖,2
sadness,❔,3
disgust-hate,♓,1
disgust-hate,♠,1
surprise,☀,24
anger,©,1
fear,⏰,9
trust,#,2
surprise,⭐,12
sadness,❎,1
anger,⭕,1
fear,[,1
fear,✏,23
fear,9,1
joy,✈,49
disgust-hate,⚠,5
joy,♐,1
sadness,☕,25
disgust-hate,⚡,7
disgust-hate,⬛,1
disgust-hate,3,2
joy,☺,2611
trust,♈,1
surprise,⃣,22
surprise,#,1
sadness,✊,7
fear,⛳,6
disgust-hate,❄,105
trust,®,28
trust,⭕,26
anticipation,©,1
anticipation,],1
anger,↖,5
anger,®,8
fear,☔,46
fear,⚫,1
trust,™,24
fear,❔,10
trust,9,3
sadness,],1
anger,™,4
disgust-hate,☺,242
joy,⬅,1
disgust-hate,✔,26
disgust-hate,⛔,1
trust,⭐,32
anger,✏,24
fear,✈,75
trust,⛽,6
sadness,6,4
fear,8,3
surprise,❓,23
joy,☀,77
trust,↪,4
disgust-hate,⚾,14
disgust-hate,⏰,23
joy,©,3
joy,✔,20
joy,↔,2
anticipation,⛅,5
sadness,❗,12
joy,♥,416
sadness,™,1
anger,⏰,7
fear,2,7
trust,❌,26
surprise,♎,2
anger,☀,37
anger,⬇,2
fear,✊,29
disgust-hate,☎,3
joy,↪,1
sadness,⛪,1
fear,✉,4
fear,ℹ,1
trust,☹,4
joy,☃,1
trust,✏,4
fear,☀,136
fear,☺,1448
disgust-hate,⤴,1
joy,♋,2
surprise,,38332
surprise,❕,12
surprise,9,1
sadness,☹,139
sadness,➡,20
sadness,1,1
anger,⛽,4
anger,⚾,2
joy,↩,1
trust,⛺,4
trust,◼,4
trust,〽,8
fear,],1
anticipation,⛳,2
sadness,❓,6
fear,☹,1
disgust-hate,➰,1
joy,❓,1
trust,⚠,2
anticipation,⭕,2
sadness,⚾,10
anger,❓,6
anger,⬅,5
surprise,⌚,8
fear,✅,3
disgust-hate,❌,31
trust,♣,30
trust,✉,5
sadness,☁,19
anger,⚡,8
disgust-hate,",",71913
joy,❕,4
trust,5,5
surprise,⚡,12
anger,⛅,5
trust,♒,3
anticipation,✖,1
sadness,®,3
disgust-hate,⛄,50
disgust-hate,↖,4
surprise,♥,104
surprise,⛅,4
trust,▶,11
surprise,7,1
anger,♿,1
disgust-hate,⬅,8
trust,✖,2
anticipation,➕,1
fear,⚪,2
disgust-hate,➖,1
joy,⬛,1
trust,☕,99
sadness,",",51827
fear,5,8
fear,#,1
joy,㊙,1
anger,➡,4
joy,♣,4
trust,⛎,1
trust,➕,2
anticipation,☕,23
surprise,☺,155
joy,☑,6
trust,❄,167
surprise,☃,1
surprise,♣,1
surprise,],1
sadness,[,1
surprise,♐,1
disgust-hate,⏳,1
joy,✨,88
trust,",",105047
anticipation,✂,2
surprise,©,5
sadness,✅,3
anger,⭐,8
fear,✂,12
disgust-hate,?,140410
trust,⌚,9
anticipation,1,1
fear,⛺,9
fear,♥,117
trust,☺,1390
anticipation,☝,8
fear,☝,52
joy,⌛,2
surprise,⚓,3
disgust-hate,↗,4
anticipation,❗,4
disgust-hate,✒,2
disgust-hate,⚓,1
anticipation,➡,5
surprise,6,1
fear,✒,2
anticipation,?,38326
anger,☕,22
fear,↪,1
joy,◻,1
trust,♑,1
trust,♻,6
anticipation,⚽,13
joy,✊,19
trust,↖,3
anger,➗,1
fear,✖,1
disgust-hate,↙,4
trust,4,2
anticipation,⛄,58
anger,❤,57
fear,♻,5
disgust-hate,❕,5
trust,,105047
trust,♓,1
surprise,☔,8
surprise,☁,25
sadness,⚫,1
disgust-hate,㊙,1
joy,[,1
anticipation,⛵,1
sadness,✏,8
fear,⛪,9
trust,♏,3
anticipation,⛪,2
anticipation,✔,5
anticipation,⏳,1
sadness,©,2
fear,⛵,9
surprise,✂,10
disgust-hate,⛽,3
disgust-hate,⤵,1
fear,1,16
fear,♣,2
sadness,✂,5
disgust-hate,✳,1
joy,❗,16
joy,♒,1
trust,⬅,2
joy,⭕,4
anticipation,❌,13
disgust-hate,✅,1
trust,⚽,109
anticipation,⌚,3
surprise,↗,2
anger,❄,83
fear,⚡,16
disgust-hate,✨,29
sadness,▪,2
fear,↕,2
trust,✅,5
anticipation,❓,7
anger,✌,249
trust,⛅,15
anticipation,,20490
